שם יישוב,סמל יישוב,אזור סטטיסטי 2008,שמות שכונות מרכזיות,שמות רחובות מרכזיים
באר שבע,9000,226,"שכ' י""א - רמות ספיר (צפון-מערב)","מויאל אליהו, רופין ארתור, רוקח ישראל, שד' גולדה מאיר, דולצ'ין אריה"
באר שבע,9000,311,שכ' ו' (צפון),"קלצ'קין רפאל, רובינא חנה, רודנסקי שמואל, מסקין אהרון, ילן-שטקליס מרים"
באר שבע,9000,312,נווה מנחם (צפון),"החשמונאים, דקר, רחל אמנו, לאה, רבקה"
באר שבע,9000,313,נווה מנחם (מרכז),"אהרונסון, דוד הראובני, גרינשפן הרשל, מרלא, לוזון אפרים"
באר שבע,9000,314,נווה מנחם (דרום),"פינקל שמעון, המלכים, לוזון אפרים, לסקר פרץ, פרופ' שיבא"
באר שבע,9000,411,נווה זאב (דרום - מערב),"דרך אילן רמון, שד' טוביהו דוד, דרך ג'ו אלון, נשר, אנקור"
באר שבע,9000,412,"ש חצרים, שכ' דרום (מערב)","מבצע משה, סרן דב, מבצע אסף, גוטמן נחום, קיפניס לוין"
באר שבע,9000,413,נווה זאב (צפון - מזרח),"יוהנה ז'בוטינסקי, פיארברג, חטיבה שמונה, אש שלום, פרץ י ל"
באר שבע,9000,414,נווה זאב (צפון - מערב),"פרישמן דוד, ניב דוד, יוהנה ז'בוטינסקי, חטיבה שמונה, אימבר"
באר שבע,9000,415,נווה זאב (מרכז),"בר ניסן, שד' הנשיא הרצוג חי, גרוסמן מאיר, רוזנבלום הרצל, אורות ישראל"
באר שבע,9000,421,נאות לון,"אבן-שושן אברהם, עבדת, שומרון, הגאונים, וילנסקי משה"
באר שבע,9000,422,שכ' ט' (מערב),"עין גדי, שד' ירושלים, שד' טוביהו דוד, רחבת יבנה, שיבטה"
באר שבע,9000,423,שכ' ט' (מזרח),"שכם, שד' ירושלים, שד' טוביהו דוד, יריחו, דרך ג'ו אלון"
באר שבע,9000,431,שכ' ה' (דרום - מזרח),"שד' יעלים, משעול הערבה, הצבי, גירית, שנונית"
באר שבע,9000,432,שכ' ה' (דרום - מערב),"הצבי, טבנקין, שד' יעלים, בורלא יהודה, קויפמן"
